failure_type,category,downtime_minutes,event_count,average_duration_min,downtime_share,cumulative_share
Part Presence Sensor,Sensor/Control,635.46,49,12.96857142857143,0.09513657561625584,0.09513657561625584
Robot Position Fault,Equipment Failure,595.09,49,12.14469387755102,0.08909266481521683,0.18422924043147265
Vision System Fault,Sensor/Control,502.31,40,12.55775,0.07520229959053515,0.2594315400220078
Functional Test Failure,Quality,439.6,36,12.211111111111112,0.06581380203459866,0.3252453420566065
Product Changeover,Changeover,425.39,32,13.2934375,0.06368638136373504,0.38893172342034155
Fixture Fault,Equipment Failure,403.58,34,11.87,0.06042114245933423,0.44935286587967577
Tool Wear,Tooling,381.76,33,11.568484848484848,0.05715440642567876,0.5065072723053545
Gripper Fault,Equipment Failure,361.85,29,12.477586206896552,0.054173622079662254,0.5606808943850168
Packaging Jam,Equipment Failure,352.16,28,12.577142857142858,0.05272290383190233,0.6134037982169191
Spindle Fault,Equipment Failure,348.13,28,12.433214285714286,0.05211956074227669,0.6655233589591958
Component Shortage,Material,319.95,26,12.305769230769231,0.047900650502661145,0.7134240094618569
Inspection Calibration,Quality,298.22,23,12.96608695652174,0.04464738863229757,0.7580713980941545
Measurement Sensor Fault,Sensor/Control,289.91,22,13.177727272727275,0.04340327422167994,0.8014746723158344
Label Sensor Fault,Sensor/Control,287.24,24,11.968333333333334,0.04300354071068726,0.8444782130265216
Communication Fault,Sensor/Control,255.11,21,12.14809523809524,0.03819326441548331,0.8826714774420049
Tool Change,Tooling,239.53,22,10.887727272727274,0.035860737036732065,0.918532214478737
Packaging Material Shortage,Material,161.05,13,12.38846153846154,0.024111266646205904,0.9426434811249429
Coolant Sensor Alarm,Sensor/Control,126.26,10,12.626000000000001,0.018902753969263938,0.9615462350942068
Robot Micro Stop,Micro Stop,73.96,29,2.5503448275862066,0.011072767967422468,0.9726190030616293
Inspection Micro Stop,Micro Stop,69.53,26,2.6742307692307694,0.010409539707610656,0.9830285427692399
Assembly Micro Stop,Micro Stop,43.83,17,2.578235294117647,0.006561917523149361,0.9895904602923893
Packaging Micro Stop,Micro Stop,42.16,18,2.342222222222222,0.006311896937622109,0.9959023572300114
Minor CNC Stop,Micro Stop,27.37,10,2.737,0.004097642769988547,1.0
