station_id,shift,planned_minutes,runtime_minutes,downtime_minutes,total_quantity,good_quantity,rejected_quantity,availability,performance,quality,oee,scrap_rate,throughput_units_per_planned_hour,weighted_actual_cycle_sec,theoretical_capacity_units,capacity_utilization,station_name
ST01,A,13500,13121.5,378.5,11611,11409,202,0.9719629629629628,0.963341462485234,0.9826027043320988,0.9200425737088392,0.0173972956679011,50.70666666666666,65.65275686848678,12399.956502827315,0.936374252389722,CNC Machining
ST01,B,13500,13062.1,437.9,11390,11182,208,0.9675629629629628,0.945317368570138,0.9817383669885864,0.8979509970409391,0.0182616330114135,49.69777777777778,66.43778050921861,12452.805567638105,0.9146533235530404,CNC Machining
ST01,C,13500,12977.06,522.94,10826,10625,201,0.9612637037037036,0.9031028599698238,0.9814335858119342,0.8520021245150563,0.0185664141880657,47.22222222222222,68.8541326436357,12468.464549804265,0.8682705040990755,CNC Machining
ST02,A,13500,12945.84,554.16,12457,12366,91,0.9589511111111112,0.9530745011524936,0.9926948703540178,0.9072753150838884,0.0073051296459821,54.96,59.756347435177005,13639.952153110044,0.913272998333772,Robot Handling
ST02,B,13500,12959.93,540.07,12415,12325,90,0.9599948148148147,0.9444611197745666,0.9927507047925896,0.9001050029086678,0.0072492952074103,54.77777777777778,60.41699154248892,13698.08612440191,0.9063309930490064,Robot Handling
ST02,C,13500,12600.88,899.12,11641,11549,92,0.9333985185185184,0.9090912698160762,0.9920968988918478,0.841838311905239,0.0079031011081522,51.32888888888889,62.53386135211751,13715.31100478469,0.8487594627594627,Robot Handling
ST03,A,13500,13044.33,455.67,12099,11720,379,0.9662466666666668,0.9640493225792354,0.968675097115464,0.902330001561194,0.0313249028845359,52.08888888888889,62.75386230266964,12990.430622009566,0.9313779005524864,Quality Inspection
ST03,B,13500,13054.42,445.58,11918,11522,396,0.966994074074074,0.9442296172484108,0.9667729484812888,0.8827260051089856,0.0332270515187111,51.208888888888886,63.396869441181416,13045.7963089542,0.9135509797757522,Quality Inspection
ST03,C,13500,13106.37,393.63,11548,11190,358,0.9708422222222222,0.9107166973006257,0.9689989608590232,0.856752274564138,0.0310010391409767,49.73333333333333,65.6961326636647,13062.200956937795,0.884077655677656,Quality Inspection
ST04,A,13500,13061.81,438.19,10600,10371,229,0.9675414814814814,0.963734735078829,0.9783962264150944,0.9123088226415094,0.0216037735849056,46.09333333333333,71.58909433962266,11366.626794258376,0.9325545908971322,Assembly & Testing
ST04,B,13500,12909.11,590.89,10243,10039,204,0.9562303703703704,0.9389648085731704,0.9800839597774088,0.8799847180188096,0.019916040222591,44.617777777777775,72.56919652445573,11415.07177033493,0.8973224352928848,Assembly & Testing
ST04,C,13500,12738.54,761.46,9061,8816,245,0.9435955555555556,0.8402846794059602,0.9729610418276128,0.7714499993868719,0.0270389581723871,39.18222222222222,80.34187065445315,11429.425837320574,0.792778231292517,Assembly & Testing
ST05,A,13500,13216.83,283.17,11900,11822,78,0.9790244444444444,0.9510379316876032,0.9934453781512604,0.9249864439049694,0.0065546218487394,52.54222222222222,63.70359831932774,12787.45514354067,0.9305995498260692,Packaging
ST05,B,13500,13265.78,234.22,11875,11789,86,0.9826503703703704,0.9412327557570432,0.992757894736842,0.9182044732215724,0.0072421052631578,52.39555555555555,64.43173473684212,12841.955741626796,0.924703389337152,Packaging
ST05,C,13500,13122.85,377.15,11325,11246,79,0.9720629629629628,0.9062828069613942,0.9930242825607064,0.8748185950235737,0.0069757174392935,49.98222222222222,66.80796732891832,12858.104066985645,0.8807674864817723,Packaging
