date,planned_minutes,runtime_minutes,downtime_minutes,total_quantity,good_quantity,rejected_quantity,availability,performance,quality,oee,scrap_rate,throughput_units_per_planned_hour,weighted_actual_cycle_sec,theoretical_capacity_units,capacity_utilization
2026-01-05,6750,6498.33,251.67,5906,5805,101,0.9627155555555555,0.9315365127142923,0.9828987470369116,0.8814682074726268,0.017101252963088384,51.6,63.573574331188624,6582.74948735475,0.8971934920727632
2026-01-06,6750,6573.77,176.23,5613,5536,77,0.9738918518518518,0.9343354979968369,0.9862818457153038,0.897459007374855,0.01371815428469624,49.208888888888886,67.5421824336362,6173.821110109986,0.909161425297599
2026-01-07,6750,6488.07,261.93,5538,5446,92,0.9611955555555555,0.9327194630555261,0.983387504514265,0.8816322716227724,0.016612495485734922,48.40888888888889,67.46076381365114,6173.821110109986,0.8970133570814366
2026-01-08,6750,6544.42,205.58,5328,5211,117,0.9695437037037037,0.9356464489341048,0.9780405405405406,0.8872295970970971,0.02195945945945946,46.32,70.75682807807807,5874.6052243211325,0.906954560613169
2026-01-09,6750,6461.93,288.07,5700,5609,91,0.957322962962963,0.9356225616804886,0.9840350877192983,0.8813933033788174,0.015964912280701755,49.85777777777778,65.48989122807018,6363.324504442925,0.8957581836381617
2026-01-12,6750,6549.71,200.29,5403,5292,111,0.9703274074074074,0.9295660927481267,0.9794558578567463,0.8834529804429638,0.020544142143253747,47.04,69.92284841754581,5984.317715777044,0.9028598173782687
2026-01-13,6750,6507.03,242.97,5553,5439,114,0.9640044444444444,0.932913838315381,0.9794705564559697,0.8808702785948203,0.020529443544030253,48.346666666666664,67.54214838825861,6173.821110109986,0.899442970724669
2026-01-14,6750,6561.72,188.28,5587,5490,97,0.9721066666666666,0.9324831497432584,0.9826382674064793,0.8907351430901098,0.01736173259352067,48.8,67.73002684804008,6173.821110109986,0.9049500949826628
2026-01-15,6750,6536.51,213.49,5829,5742,87,0.9683718518518519,0.9300521226158914,0.9850746268656716,0.8871939635157547,0.014925373134328358,51.04,64.76361125407446,6473.036995898838,0.9005046632196163
2026-01-16,6750,6537.27,212.73,5653,5548,105,0.9684844444444445,0.9334961943849139,0.9814257916150716,0.8872840371003705,0.01857420838492836,49.315555555555555,66.7998036440828,6253.612012987012,0.9039575829553052
2026-01-19,6750,6602.76,147.24,5724,5617,107,0.9781866666666666,0.9317858491499514,0.9813067784765898,0.8944223609062124,0.018693221523410204,49.92888888888889,66.63472921034241,6283.533601565898,0.9109523976403249
2026-01-20,6750,6571.89,178.11,5775,5670,105,0.9736133333333333,0.9313373575435173,0.9818181818181818,0.8902758787878787,0.01818181818181818,50.4,65.77195151515151,6363.324504442925,0.9075444755281376
2026-01-21,6750,6508.83,241.17,5630,5525,105,0.9642711111111111,0.9315759002257956,0.9813499111900533,0.881538507883253,0.018650088809946713,49.111111111111114,66.67506571936056,6283.533601565898,0.8959926622493062
2026-01-22,6750,6525.62,224.38,5651,5542,109,0.9667585185185184,0.927162221112068,0.9807113785170766,0.8790527742276575,0.019288621482923377,49.26222222222222,66.6011838612635,6283.533601565898,0.8993347307941082
2026-01-23,6750,6528.76,221.24,5847,5765,82,0.9672237037037037,0.9322050945866188,0.9859757140413887,0.8890058546431958,0.014024285958611254,51.24444444444445,64.52361552933128,6473.036995898838,0.9032854290350141
2026-01-26,6750,6575.96,174.04,5893,5798,95,0.9742162962962962,0.9344719250117094,0.9838791786865773,0.8957017402945114,0.016120821313422705,51.53777777777778,64.4358340403869,6473.036995898838,0.9103918305632526
2026-01-27,6750,6492.57,257.43,5795,5703,92,0.9618622222222223,0.9305889912109792,0.9841242450388266,0.8808880322755889,0.015875754961173424,50.693333333333335,64.71417083692839,6473.036995898838,0.8952521055683096
2026-01-28,6750,6543.43,206.57,5855,5760,95,0.9693970370370371,0.9325146240834955,0.9837745516652434,0.889309482873138,0.016225448334756618,51.2,64.54226131511528,6473.036995898838,0.9045213249529686
2026-01-29,6750,6429.61,320.39,5475,5382,93,0.952534814814815,0.9311916534076977,0.983013698630137,0.871925747742263,0.016986301369863014,47.84,67.7591799086758,6173.821110109984,0.8868089797798604
2026-01-30,6750,6429.94,320.06,5754,5665,89,0.9525837037037038,0.9324785042058452,0.9845324991310392,0.8745246056420224,0.015467500868960723,50.355555555555554,64.57107055961069,6473.036995898838,0.8889181389887927
2026-02-02,6750,6482.04,267.96,5801,5699,102,0.9603022222222222,0.9317659512540291,0.982416824685399,0.8790438942413078,0.01758317531460093,50.65777777777778,64.56023789001897,6473.036995898838,0.8961790275067755
2026-02-03,6750,6540.13,209.87,5572,5471,101,0.9689081481481482,0.932857731166404,0.9818736539842068,0.887469896284775,0.018126346015793254,48.63111111111111,67.80682340272793,6173.821110109986,0.9025204813394302
2026-02-04,6750,6531.8,218.2,5677,5583,94,0.967674074074074,0.9312131928922095,0.9834419587810463,0.8861902333653012,0.016558041218953674,49.626666666666665,66.43255064294522,6283.533601565898,0.9034725299448155
2026-02-05,6750,6420.47,329.53,5826,5743,83,0.9511807407407408,0.9311858529567668,0.9857535187092344,0.8731075697914413,0.014246481290765533,51.04888888888889,63.74908341915552,6582.74948735475,0.8850405155462103
2026-02-06,6750,6484.41,265.59,5832,5746,86,0.9606533333333334,0.9365571938439016,0.9852537722908093,0.8864395089247914,0.014746227709190672,51.07555555555555,64.34306069958848,6473.036995898838,0.9009681241888493
2026-02-09,6750,6478.53,271.47,5895,5807,88,0.9597822222222223,0.9319664337434572,0.9850720949957591,0.8811320304715233,0.014927905004240882,51.617777777777775,63.580054283290934,6582.74948735475,0.8955224578003622
2026-02-10,6750,6490.67,259.33,5625,5523,102,0.9615807407407407,0.9314799807518587,0.9818666666666667,0.8794513063374486,0.018133333333333335,49.093333333333334,66.61546311111111,6283.533601565898,0.895196931643401
2026-02-11,6750,6543.37,206.63,5683,5568,115,0.9693881481481481,0.9301873499435308,0.9797642090445188,0.883465725066964,0.02023579095548126,49.49333333333333,66.42142354390288,6283.533601565898,0.9044274066719018
2026-02-12,6750,6467.46,282.54,5776,5670,106,0.9581422222222221,0.931302113452061,0.9816481994459834,0.875944200138504,0.018351800554016622,50.4,64.70224203601107,6473.036995898838,0.8923168527631676
2026-02-13,6750,6280.34,469.66,5713,5616,97,0.9304207407407408,0.9319908104762906,0.9830211797654472,0.8524205052803548,0.016978820234552775,49.92,63.57084193943637,6582.74948735475,0.8678744362024544
