target_id,date,shift,product_id,target_good_output,constraint_station_id,actual_total_output,actual_good_output,actual_rejected_output,planned_minutes,output_attainment,output_gap_units,takt_time_sec,actual_throughput_units_per_hour
TG00001,2026-01-05,A,ACT-100,347,ST04,367,352,15,450,1.0144092219020173,5,77.80979827089337,46.93333333333333
TG00002,2026-01-05,B,ACT-100,347,ST04,356,350,6,450,1.0086455331412103,3,77.80979827089337,46.666666666666664
TG00003,2026-01-05,C,ACT-100,347,ST04,308,303,5,450,0.8731988472622478,-44,77.80979827089337,40.4
TG00004,2026-01-06,A,ACT-300,300,ST04,329,322,7,450,1.0733333333333333,22,90.0,42.93333333333333
TG00005,2026-01-06,B,ACT-100,347,ST04,355,350,5,450,1.0086455331412103,3,77.80979827089337,46.666666666666664
TG00006,2026-01-06,C,ACT-200,330,ST04,315,306,9,450,0.9272727272727272,-24,81.81818181818181,40.8
TG00007,2026-01-07,A,ACT-300,300,ST04,314,309,5,450,1.03,9,90.0,41.2
TG00008,2026-01-07,B,ACT-100,347,ST04,348,342,6,450,0.9855907780979827,-5,77.80979827089337,45.6
TG00009,2026-01-07,C,ACT-200,330,ST04,274,266,8,450,0.806060606060606,-64,81.81818181818181,35.46666666666667
TG00010,2026-01-08,A,ACT-300,300,ST04,300,289,11,450,0.9633333333333334,-11,90.0,38.53333333333333
TG00011,2026-01-08,B,ACT-300,300,ST04,306,292,14,450,0.9733333333333334,-8,90.0,38.93333333333333
TG00012,2026-01-08,C,ACT-200,330,ST04,299,290,9,450,0.8787878787878788,-40,81.81818181818181,38.666666666666664
TG00013,2026-01-09,A,ACT-200,330,ST04,355,345,10,450,1.0454545454545454,15,81.81818181818181,46.0
TG00014,2026-01-09,B,ACT-200,330,ST04,325,317,8,450,0.9606060606060606,-13,81.81818181818181,42.266666666666666
TG00015,2026-01-09,C,ACT-100,347,ST04,307,299,8,450,0.861671469740634,-48,77.80979827089337,39.86666666666667
TG00016,2026-01-12,A,ACT-100,347,ST04,369,358,11,450,1.031700288184438,11,77.80979827089337,47.733333333333334
TG00017,2026-01-12,B,ACT-300,300,ST03,319,306,13,450,1.02,6,90.0,40.8
TG00018,2026-01-12,C,ACT-300,300,ST04,281,271,10,450,0.9033333333333333,-29,90.0,36.13333333333333
TG00019,2026-01-13,A,ACT-300,300,ST01,311,299,12,450,0.9966666666666667,-1,90.0,39.86666666666667
TG00020,2026-01-13,B,ACT-100,347,ST04,371,364,7,450,1.0489913544668588,17,77.80979827089337,48.53333333333333
TG00021,2026-01-13,C,ACT-200,330,ST04,310,302,8,450,0.9151515151515152,-28,81.81818181818181,40.266666666666666
TG00022,2026-01-14,A,ACT-300,300,ST04,317,304,13,450,1.0133333333333334,4,90.0,40.53333333333333
TG00023,2026-01-14,B,ACT-200,330,ST04,348,346,2,450,1.0484848484848486,16,81.81818181818181,46.13333333333333
TG00024,2026-01-14,C,ACT-100,347,ST04,333,323,10,450,0.930835734870317,-24,77.80979827089337,43.06666666666667
TG00025,2026-01-15,A,ACT-100,347,ST04,377,372,5,450,1.0720461095100864,25,77.80979827089337,49.6
TG00026,2026-01-15,B,ACT-200,330,ST04,335,330,5,450,1.0,0,81.81818181818181,44.0
TG00027,2026-01-15,C,ACT-100,347,ST04,331,325,6,450,0.9365994236311239,-22,77.80979827089337,43.333333333333336
TG00028,2026-01-16,A,ACT-200,330,ST04,362,355,7,450,1.0757575757575757,25,81.81818181818181,47.333333333333336
TG00029,2026-01-16,B,ACT-200,330,ST04,355,346,9,450,1.0484848484848486,16,81.81818181818181,46.13333333333333
TG00030,2026-01-16,C,ACT-200,330,ST04,299,290,9,450,0.8787878787878788,-40,81.81818181818181,38.666666666666664
TG00031,2026-01-19,A,ACT-100,347,ST04,381,374,7,450,1.0778097982708934,27,77.80979827089337,49.86666666666667
TG00032,2026-01-19,B,ACT-300,300,ST04,312,305,7,450,1.0166666666666666,5,90.0,40.666666666666664
TG00033,2026-01-19,C,ACT-100,347,ST04,325,319,6,450,0.9193083573487032,-28,77.80979827089337,42.53333333333333
TG00034,2026-01-20,A,ACT-100,347,ST04,379,375,4,450,1.080691642651297,28,77.80979827089337,50.0
TG00035,2026-01-20,B,ACT-200,330,ST04,335,325,10,450,0.9848484848484849,-5,81.81818181818181,43.333333333333336
TG00036,2026-01-20,C,ACT-200,330,ST04,301,292,9,450,0.8848484848484849,-38,81.81818181818181,38.93333333333333
TG00037,2026-01-21,A,ACT-300,300,ST04,310,299,11,450,0.9966666666666667,-1,90.0,39.86666666666667
TG00038,2026-01-21,B,ACT-100,347,ST04,367,357,10,450,1.0288184438040346,10,77.80979827089337,47.6
TG00039,2026-01-21,C,ACT-100,347,ST04,319,309,10,450,0.8904899135446686,-38,77.80979827089337,41.2
TG00040,2026-01-22,A,ACT-100,347,ST04,373,368,5,450,1.0605187319884726,21,77.80979827089337,49.06666666666667
TG00041,2026-01-22,B,ACT-100,347,ST04,341,335,6,450,0.9654178674351584,-12,77.80979827089337,44.666666666666664
TG00042,2026-01-22,C,ACT-300,300,ST04,267,252,15,450,0.84,-48,90.0,33.6
