maintenance_id,station_id,timestamp,type,failure_type,duration_min,component,action_taken,successful_restart,date,year,month,month_name,week,day_name
MT000001,ST01,2026-01-05 11:47:32.571207349,Corrective,Coolant Sensor Alarm,13.5,Coolant Sensor Alarm,"Inspect, reset or replace affected component",True,2026-01-05,2026,1,January,2,Monday
MT000002,ST02,2026-01-05 08:15:04.976348678,Corrective,Part Presence Sensor,13.5,Part Presence Sensor,"Inspect, reset or replace affected component",True,2026-01-05,2026,1,January,2,Monday
MT000003,ST03,2026-01-05 07:31:25.962375638,Corrective,Measurement Sensor Fault,13.5,Measurement Sensor Fault,"Inspect, reset or replace affected component",True,2026-01-05,2026,1,January,2,Monday
MT000004,ST04,2026-01-05 12:34:56.182838794,Corrective,Fixture Fault,13.5,Fixture Fault,"Inspect, reset or replace affected component",True,2026-01-05,2026,1,January,2,Monday
MT000005,ST02,2026-01-05 18:04:29.416286832,Corrective,Communication Fault,11.86,Communication Fault,"Inspect, reset or replace affected component",True,2026-01-05,2026,1,January,2,Monday
MT000006,ST03,2026-01-05 21:00:36.170065733,Corrective,Inspection Calibration,12.5,Inspection Calibration,"Inspect, reset or replace affected component",True,2026-01-05,2026,1,January,2,Monday
MT000007,ST04,2026-01-05 16:02:08.331940120,Corrective,Component Shortage,13.5,Component Shortage,"Inspect, reset or replace affected component",True,2026-01-05,2026,1,January,2,Monday
MT000008,ST05,2026-01-05 14:04:54.355853408,Corrective,Label Sensor Fault,13.5,Label Sensor Fault,"Inspect, reset or replace affected component",True,2026-01-05,2026,1,January,2,Monday
MT000009,ST05,2026-01-05 15:47:26.592957121,Corrective,Packaging Jam,13.5,Packaging Jam,"Inspect, reset or replace affected component",True,2026-01-05,2026,1,January,2,Monday
MT000010,ST05,2026-01-05 19:32:23.981650415,Corrective,Packaging Jam,13.5,Packaging Jam,"Inspect, reset or replace affected component",True,2026-01-05,2026,1,January,2,Monday
MT000011,ST01,2026-01-06 00:32:11.584625756,Corrective,Tool Change,13.5,Tool Change,"Inspect, reset or replace affected component",True,2026-01-06,2026,1,January,2,Tuesday
MT000012,ST01,2026-01-06 04:19:40.162505258,Corrective,Spindle Fault,13.5,Spindle Fault,"Inspect, reset or replace affected component",True,2026-01-06,2026,1,January,2,Tuesday
MT000013,ST02,2026-01-06 00:31:58.851807482,Corrective,Gripper Fault,13.5,Gripper Fault,"Inspect, reset or replace affected component",True,2026-01-06,2026,1,January,2,Tuesday
