record_id,timestamp,date,shift,station_id,product_id,planned_minutes,downtime_minutes,runtime_minutes,ideal_cycle_sec,actual_cycle_sec,total_quantity,good_quantity,rejected_quantity,machine_status,operator_team,downtime_id,year,month,month_name,week,day_name,hour,availability_numerator_min,availability_denominator_min,performance_numerator_sec,performance_denominator_sec,quality_numerator_units,quality_denominator_units,scrap_rate,cycle_variance_pct,has_downtime,is_planned_maintenance
PR0000001,2026-01-05 06:00:00,2026-01-05,A,ST01,ACT-100,15,0.0,15.0,62.7,62.7,14,14,0,Running,Team-A,,2026,1,January,2,Monday,6,15.0,15,877.8000000000001,900.0,14,14,0.0,0.0,False,False
PR0000002,2026-01-05 06:15:00,2026-01-05,A,ST01,ACT-100,15,0.0,15.0,62.7,63.2,14,14,0,Running,Team-A,,2026,1,January,2,Monday,6,15.0,15,877.8000000000001,900.0,14,14,0.0,0.007974481658692184,False,False
PR0000003,2026-01-05 06:30:00,2026-01-05,A,ST01,ACT-100,15,0.0,15.0,62.7,62.7,14,14,0,Running,Team-A,,2026,1,January,2,Monday,6,15.0,15,877.8000000000001,900.0,14,14,0.0,0.0,False,False
PR0000004,2026-01-05 06:45:00,2026-01-05,A,ST01,ACT-100,15,0.0,15.0,62.7,62.7,14,14,0,Running,Team-A,,2026,1,January,2,Monday,6,15.0,15,877.8000000000001,900.0,14,14,0.0,0.0,False,False
PR0000005,2026-01-05 07:00:00,2026-01-05,A,ST01,ACT-100,15,0.0,15.0,62.7,62.7,14,14,0,Running,Team-A,,2026,1,January,2,Monday,7,15.0,15,877.8000000000001,900.0,14,14,0.0,0.0,False,False
PR0000006,2026-01-05 07:15:00,2026-01-05,A,ST01,ACT-100,15,0.0,15.0,62.7,62.7,14,14,0,Running,Team-A,,2026,1,January,2,Monday,7,15.0,15,877.8000000000001,900.0,14,14,0.0,0.0,False,False
PR0000007,2026-01-05 07:30:00,2026-01-05,A,ST01,ACT-100,15,0.0,15.0,62.7,62.89,14,14,0,Running,Team-A,,2026,1,January,2,Monday,7,15.0,15,877.8000000000001,900.0,14,14,0.0,0.003030303030302994,False,False
PR0000008,2026-01-05 07:45:00,2026-01-05,A,ST01,ACT-100,15,0.0,15.0,62.7,62.7,14,13,1,Running,Team-A,,2026,1,January,2,Monday,7,15.0,15,877.8000000000001,900.0,13,14,0.07142857142857142,0.0,False,False
PR0000009,2026-01-05 08:00:00,2026-01-05,A,ST01,ACT-100,15,0.0,15.0,62.7,63.16,14,14,0,Running,Team-A,,2026,1,January,2,Monday,8,15.0,15,877.8000000000001,900.0,14,14,0.0,0.00733652312599671,False,False
PR0000010,2026-01-05 08:15:00,2026-01-05,A,ST01,ACT-100,15,0.0,15.0,62.7,62.7,14,14,0,Running,Team-A,,2026,1,January,2,Monday,8,15.0,15,877.8000000000001,900.0,14,14,0.0,0.0,False,False
PR0000011,2026-01-05 08:30:00,2026-01-05,A,ST01,ACT-100,15,0.0,15.0,62.7,62.7,14,14,0,Running,Team-A,,2026,1,January,2,Monday,8,15.0,15,877.8000000000001,900.0,14,14,0.0,0.0,False,False
PR0000012,2026-01-05 08:45:00,2026-01-05,A,ST01,ACT-100,15,0.0,15.0,62.7,64.41,13,12,1,Running,Team-A,,2026,1,January,2,Monday,8,15.0,15,815.1,900.0,12,13,0.07692307692307693,0.02727272727272717,False,False
PR0000013,2026-01-05 09:00:00,2026-01-05,A,ST01,ACT-100,15,0.0,15.0,62.7,63.04,14,13,1,Running,Team-A,,2026,1,January,2,Monday,9,15.0,15,877.8000000000001,900.0,13,14,0.07142857142857142,0.005422647527910627,False,False
PR0000014,2026-01-05 09:15:00,2026-01-05,A,ST01,ACT-100,15,0.0,15.0,62.7,64.08,14,14,0,Running,Team-A,,2026,1,January,2,Monday,9,15.0,15,877.8000000000001,900.0,14,14,0.0,0.022009569377990357,False,False
PR0000015,2026-01-05 09:30:00,2026-01-05,A,ST01,ACT-100,15,0.0,15.0,62.7,63.91,14,14,0,Running,Team-A,,2026,1,January,2,Monday,9,15.0,15,877.8000000000001,900.0,14,14,0.0,0.019298245614034988,False,False
PR0000016,2026-01-05 09:45:00,2026-01-05,A,ST01,ACT-100,15,0.0,15.0,62.7,62.7,14,14,0,Running,Team-A,,2026,1,January,2,Monday,9,15.0,15,877.8000000000001,900.0,14,14,0.0,0.0,False,False
PR0000017,2026-01-05 10:00:00,2026-01-05,A,ST01,ACT-100,15,0.0,15.0,62.7,63.61,14,14,0,Running,Team-A,,2026,1,January,2,Monday,10,15.0,15,877.8000000000001,900.0,14,14,0.0,0.014513556618819722,False,False
