date,event_count,downtime_minutes
2026-01-05,1,13.5
2026-01-06,3,40.5
2026-01-07,1,13.5
2026-01-08,1,13.5
2026-01-09,1,13.5
2026-01-12,2,25.4
2026-01-13,4,48.83
2026-01-14,1,13.5
2026-01-16,2,27.0
2026-01-17,1,13.5
2026-01-19,1,13.2
2026-01-20,3,33.35
2026-01-21,2,27.0
2026-01-22,1,13.5
2026-01-23,1,13.5
2026-01-26,1,6.98
2026-01-27,2,22.8
2026-01-28,1,13.5
2026-01-30,1,13.5
2026-01-31,1,13.5
2026-02-02,3,40.5
2026-02-04,2,27.0
2026-02-05,2,25.9
2026-02-09,1,13.5
2026-02-10,1,13.5
2026-02-11,2,27.0
2026-02-12,3,40.5
2026-02-13,4,54.0
