downtime_id,station_id,start_time,end_time,duration_min,shift,category,failure_type,planned_flag,maintenance_required,product_id
DT000001,ST01,2026-01-05 11:47:32.571207349,2026-01-05 12:01:02.571207349,13.5,A,Sensor/Control,Coolant Sensor Alarm,False,True,ACT-100
DT000002,ST02,2026-01-05 08:15:04.976348678,2026-01-05 08:28:34.976348678,13.5,A,Sensor/Control,Part Presence Sensor,False,True,ACT-100
DT000003,ST03,2026-01-05 07:31:25.962375638,2026-01-05 07:44:55.962375638,13.5,A,Sensor/Control,Measurement Sensor Fault,False,True,ACT-100
DT000004,ST04,2026-01-05 12:34:56.182838794,2026-01-05 12:48:26.182838794,13.5,A,Equipment Failure,Fixture Fault,False,True,ACT-100
DT000005,ST02,2026-01-05 15:02:49.539955076,2026-01-05 15:06:48.939955076,3.99,B,Micro Stop,Robot Micro Stop,False,False,ACT-100
DT000006,ST02,2026-01-05 18:04:29.416286832,2026-01-05 18:16:21.016286831,11.86,B,Sensor/Control,Communication Fault,False,True,ACT-100
DT000007,ST03,2026-01-05 21:00:36.170065733,2026-01-05 21:13:06.170065733,12.5,B,Quality,Inspection Calibration,False,True,ACT-100
DT000008,ST04,2026-01-05 16:02:08.331940120,2026-01-05 16:15:38.331940120,13.5,B,Material,Component Shortage,False,True,ACT-100
DT000009,ST05,2026-01-05 14:04:54.355853408,2026-01-05 14:18:24.355853408,13.5,B,Sensor/Control,Label Sensor Fault,False,True,ACT-100
DT000010,ST05,2026-01-05 15:47:26.592957121,2026-01-05 16:00:56.592957121,13.5,B,Equipment Failure,Packaging Jam,False,True,ACT-100
DT000011,ST05,2026-01-05 19:32:23.981650415,2026-01-05 19:45:53.981650415,13.5,B,Equipment Failure,Packaging Jam,False,True,ACT-100
DT000012,ST01,2026-01-06 00:32:11.584625756,2026-01-06 00:45:41.584625756,13.5,C,Tooling,Tool Change,False,True,ACT-100
DT000013,ST01,2026-01-06 04:19:40.162505258,2026-01-06 04:33:10.162505258,13.5,C,Equipment Failure,Spindle Fault,False,True,ACT-100
DT000014,ST02,2026-01-06 00:31:58.851807482,2026-01-06 00:45:28.851807482,13.5,C,Equipment Failure,Gripper Fault,False,True,ACT-100
DT000015,ST02,2026-01-06 01:03:05.847103802,2026-01-06 01:16:35.847103802,13.5,C,Sensor/Control,Part Presence Sensor,False,True,ACT-100
DT000016,ST02,2026-01-06 02:15:30.426248534,2026-01-06 02:17:52.026248534,2.36,C,Micro Stop,Robot Micro Stop,False,False,ACT-100
DT000017,ST02,2026-01-06 03:48:00.483546043,2026-01-06 04:01:30.483546043,13.5,C,Sensor/Control,Part Presence Sensor,False,True,ACT-100
DT000018,ST04,2026-01-06 00:00:05.757683046,2026-01-06 00:13:35.757683046,13.5,C,Equipment Failure,Fixture Fault,False,True,ACT-100
DT000019,ST04,2026-01-06 02:45:21.625300799,2026-01-06 02:58:51.625300799,13.5,C,Material,Component Shortage,False,True,ACT-100
DT000020,ST04,2026-01-06 03:01:45.975422550,2026-01-06 03:05:27.375422550,3.69,C,Micro Stop,Assembly Micro Stop,False,False,ACT-100
