record_id,timestamp,date,shift,station_id,product_id,planned_minutes,downtime_minutes,runtime_minutes,ideal_cycle_sec,actual_cycle_sec,total_quantity,good_quantity,rejected_quantity,machine_status,operator_team,downtime_id
PR0000001,2026-01-05 06:00:00,2026-01-05,A,ST01,ACT-100,15,0.0,15.0,62.7,62.7,14,14,0,Running,Team-A,
PR0000002,2026-01-05 06:15:00,2026-01-05,A,ST01,ACT-100,15,0.0,15.0,62.7,63.2,14,14,0,Running,Team-A,
PR0000003,2026-01-05 06:30:00,2026-01-05,A,ST01,ACT-100,15,0.0,15.0,62.7,62.7,14,14,0,Running,Team-A,
PR0000004,2026-01-05 06:45:00,2026-01-05,A,ST01,ACT-100,15,0.0,15.0,62.7,62.7,14,14,0,Running,Team-A,
PR0000005,2026-01-05 07:00:00,2026-01-05,A,ST01,ACT-100,15,0.0,15.0,62.7,62.7,14,14,0,Running,Team-A,
PR0000006,2026-01-05 07:15:00,2026-01-05,A,ST01,ACT-100,15,0.0,15.0,62.7,62.7,14,14,0,Running,Team-A,
PR0000007,2026-01-05 07:30:00,2026-01-05,A,ST01,ACT-100,15,0.0,15.0,62.7,62.89,14,14,0,Running,Team-A,
PR0000008,2026-01-05 07:45:00,2026-01-05,A,ST01,ACT-100,15,0.0,15.0,62.7,62.7,14,13,1,Running,Team-A,
PR0000009,2026-01-05 08:00:00,2026-01-05,A,ST01,ACT-100,15,0.0,15.0,62.7,63.16,14,14,0,Running,Team-A,
PR0000010,2026-01-05 08:15:00,2026-01-05,A,ST01,ACT-100,15,0.0,15.0,62.7,62.7,14,14,0,Running,Team-A,
PR0000011,2026-01-05 08:30:00,2026-01-05,A,ST01,ACT-100,15,0.0,15.0,62.7,62.7,14,14,0,Running,Team-A,
PR0000012,2026-01-05 08:45:00,2026-01-05,A,ST01,ACT-100,15,0.0,15.0,62.7,64.41,13,12,1,Running,Team-A,
PR0000013,2026-01-05 09:00:00,2026-01-05,A,ST01,ACT-100,15,0.0,15.0,62.7,63.04,14,13,1,Running,Team-A,
PR0000014,2026-01-05 09:15:00,2026-01-05,A,ST01,ACT-100,15,0.0,15.0,62.7,64.08,14,14,0,Running,Team-A,
PR0000015,2026-01-05 09:30:00,2026-01-05,A,ST01,ACT-100,15,0.0,15.0,62.7,63.91,14,14,0,Running,Team-A,
PR0000016,2026-01-05 09:45:00,2026-01-05,A,ST01,ACT-100,15,0.0,15.0,62.7,62.7,14,14,0,Running,Team-A,
PR0000017,2026-01-05 10:00:00,2026-01-05,A,ST01,ACT-100,15,0.0,15.0,62.7,63.61,14,14,0,Running,Team-A,
PR0000018,2026-01-05 10:15:00,2026-01-05,A,ST01,ACT-100,15,0.0,15.0,62.7,64.09,14,14,0,Running,Team-A,
PR0000019,2026-01-05 10:30:00,2026-01-05,A,ST01,ACT-100,15,0.0,15.0,62.7,62.7,14,14,0,Running,Team-A,
PR0000020,2026-01-05 10:45:00,2026-01-05,A,ST01,ACT-100,15,0.0,15.0,62.7,64.42,13,13,0,Running,Team-A,
PR0000021,2026-01-05 11:00:00,2026-01-05,A,ST01,ACT-100,15,0.0,15.0,62.7,62.7,14,14,0,Running,Team-A,
PR0000022,2026-01-05 11:15:00,2026-01-05,A,ST01,ACT-100,15,0.0,15.0,62.7,62.7,14,14,0,Running,Team-A,
PR0000023,2026-01-05 11:30:00,2026-01-05,A,ST01,ACT-100,15,0.0,15.0,62.7,62.7,14,14,0,Running,Team-A,
PR0000024,2026-01-05 11:45:00,2026-01-05,A,ST01,ACT-100,15,13.5,1.5,62.7,62.7,1,1,0,Downtime,Team-A,DT000001
PR0000025,2026-01-05 12:00:00,2026-01-05,A,ST01,ACT-100,15,0.0,15.0,62.7,62.7,14,14,0,Running,Team-A,
PR0000026,2026-01-05 12:15:00,2026-01-05,A,ST01,ACT-100,15,0.0,15.0,62.7,63.87,14,13,1,Running,Team-A,
PR0000027,2026-01-05 12:30:00,2026-01-05,A,ST01,ACT-100,15,0.0,15.0,62.7,63.1,14,14,0,Running,Team-A,
PR0000028,2026-01-05 12:45:00,2026-01-05,A,ST01,ACT-100,15,0.0,15.0,62.7,63.19,14,13,1,Running,Team-A,
PR0000029,2026-01-05 13:00:00,2026-01-05,A,ST01,ACT-100,15,0.0,15.0,62.7,62.7,14,14,0,Running,Team-A,
PR0000030,2026-01-05 13:15:00,2026-01-05,A,ST01,ACT-100,15,0.0,15.0,62.7,62.7,14,14,0,Running,Team-A,
PR0000031,2026-01-05 06:00:00,2026-01-05,A,ST02,ACT-100,15,0.0,15.0,57.0,57.0,15,15,0,Running,Team-A,
PR0000032,2026-01-05 06:15:00,2026-01-05,A,ST02,ACT-100,15,0.0,15.0,57.0,57.0,15,15,0,Running,Team-A,
PR0000033,2026-01-05 06:30:00,2026-01-05,A,ST02,ACT-100,15,0.0,15.0,57.0,57.0,15,15,0,Running,Team-A,
PR0000034,2026-01-05 06:45:00,2026-01-05,A,ST02,ACT-100,15,0.0,15.0,57.0,57.0,15,15,0,Running,Team-A,
PR0000035,2026-01-05 07:00:00,2026-01-05,A,ST02,ACT-100,15,0.0,15.0,57.0,57.68,15,15,0,Running,Team-A,
PR0000036,2026-01-05 07:15:00,2026-01-05,A,ST02,ACT-100,15,0.0,15.0,57.0,57.0,15,14,1,Running,Team-A,
PR0000037,2026-01-05 07:30:00,2026-01-05,A,ST02,ACT-100,15,0.0,15.0,57.0,57.0,15,15,0,Running,Team-A,
PR0000038,2026-01-05 07:45:00,2026-01-05,A,ST02,ACT-100,15,0.0,15.0,57.0,58.1,15,15,0,Running,Team-A,
