target_id,date,shift,product_id,target_good_output
TG00001,2026-01-05,A,ACT-100,347
TG00002,2026-01-05,B,ACT-100,347
TG00003,2026-01-05,C,ACT-100,347
TG00004,2026-01-06,A,ACT-300,300
TG00005,2026-01-06,B,ACT-100,347
TG00006,2026-01-06,C,ACT-200,330
TG00007,2026-01-07,A,ACT-300,300
TG00008,2026-01-07,B,ACT-100,347
TG00009,2026-01-07,C,ACT-200,330
TG00010,2026-01-08,A,ACT-300,300
TG00011,2026-01-08,B,ACT-300,300
TG00012,2026-01-08,C,ACT-200,330
TG00013,2026-01-09,A,ACT-200,330
TG00014,2026-01-09,B,ACT-200,330
TG00015,2026-01-09,C,ACT-100,347
TG00016,2026-01-12,A,ACT-100,347
TG00017,2026-01-12,B,ACT-300,300
TG00018,2026-01-12,C,ACT-300,300
TG00019,2026-01-13,A,ACT-300,300
TG00020,2026-01-13,B,ACT-100,347
TG00021,2026-01-13,C,ACT-200,330
TG00022,2026-01-14,A,ACT-300,300
TG00023,2026-01-14,B,ACT-200,330
TG00024,2026-01-14,C,ACT-100,347
TG00025,2026-01-15,A,ACT-100,347
TG00026,2026-01-15,B,ACT-200,330
TG00027,2026-01-15,C,ACT-100,347
TG00028,2026-01-16,A,ACT-200,330
TG00029,2026-01-16,B,ACT-200,330
TG00030,2026-01-16,C,ACT-200,330
TG00031,2026-01-19,A,ACT-100,347
TG00032,2026-01-19,B,ACT-300,300
TG00033,2026-01-19,C,ACT-100,347
TG00034,2026-01-20,A,ACT-100,347
TG00035,2026-01-20,B,ACT-200,330
TG00036,2026-01-20,C,ACT-200,330
TG00037,2026-01-21,A,ACT-300,300
TG00038,2026-01-21,B,ACT-100,347
TG00039,2026-01-21,C,ACT-100,347
TG00040,2026-01-22,A,ACT-100,347
TG00041,2026-01-22,B,ACT-100,347
TG00042,2026-01-22,C,ACT-300,300
TG00043,2026-01-23,A,ACT-100,347
TG00044,2026-01-23,B,ACT-100,347
TG00045,2026-01-23,C,ACT-200,330
TG00046,2026-01-26,A,ACT-200,330
TG00047,2026-01-26,B,ACT-100,347
TG00048,2026-01-26,C,ACT-100,347
TG00049,2026-01-27,A,ACT-100,347
TG00050,2026-01-27,B,ACT-200,330
TG00051,2026-01-27,C,ACT-100,347
TG00052,2026-01-28,A,ACT-200,330
TG00053,2026-01-28,B,ACT-100,347
TG00054,2026-01-28,C,ACT-100,347
TG00055,2026-01-29,A,ACT-100,347
TG00056,2026-01-29,B,ACT-300,300
TG00057,2026-01-29,C,ACT-200,330
TG00058,2026-01-30,A,ACT-200,330
TG00059,2026-01-30,B,ACT-100,347
TG00060,2026-01-30,C,ACT-100,347
TG00061,2026-02-02,A,ACT-100,347
TG00062,2026-02-02,B,ACT-100,347
TG00063,2026-02-02,C,ACT-200,330
TG00064,2026-02-03,A,ACT-300,300
TG00065,2026-02-03,B,ACT-100,347
TG00066,2026-02-03,C,ACT-200,330
TG00067,2026-02-04,A,ACT-100,347
TG00068,2026-02-04,B,ACT-100,347
TG00069,2026-02-04,C,ACT-300,300
TG00070,2026-02-05,A,ACT-100,347
TG00071,2026-02-05,B,ACT-100,347
TG00072,2026-02-05,C,ACT-100,347
TG00073,2026-02-06,A,ACT-100,347
TG00074,2026-02-06,B,ACT-200,330
TG00075,2026-02-06,C,ACT-100,347
TG00076,2026-02-09,A,ACT-100,347
TG00077,2026-02-09,B,ACT-100,347
TG00078,2026-02-09,C,ACT-100,347
TG00079,2026-02-10,A,ACT-100,347
TG00080,2026-02-10,B,ACT-300,300
TG00081,2026-02-10,C,ACT-100,347
TG00082,2026-02-11,A,ACT-100,347
TG00083,2026-02-11,B,ACT-100,347
TG00084,2026-02-11,C,ACT-300,300
TG00085,2026-02-12,A,ACT-100,347
TG00086,2026-02-12,B,ACT-200,330
TG00087,2026-02-12,C,ACT-100,347
TG00088,2026-02-13,A,ACT-100,347
TG00089,2026-02-13,B,ACT-100,347
TG00090,2026-02-13,C,ACT-100,347
